run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Complexity,Epoch,Generalization Gap,KL Loss on Train Data (kl mean)
v84wdl30,opsgd_hw1024_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,sgd,2,1024,90.0,420149.0,0.3050000071525574,0.011388357728719711
0ujr6zuw,opsgd_hw1024_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,sgd,2,1024,89.0,325796.0,0.30900001525878906,0.009998610243201256
x15xtfpi,opsgd_hw1024_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,sgd,2,1024,88.0,424911.0,0.30699998140335083,0.01134030893445015
rcjqcaqd,opadam_hw1024_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,adam,2,1024,88.0,422031.0,0.30299997329711914,0.011214626021683216
yb92tat7,opadam_hw1024_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,adam,2,1024,86.0,420586.0,0.2979999780654907,0.011117400601506231
5xsvb7jh,opadam_hw1024_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,adam,2,1024,85.0,15443.0,0.30699998140335083,0.00999840721487999
ymbm8yfj,oprmsprop_hw1024_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,rmsprop,4,1024,73.0,123149.0,0.24000000953674316,0.009997828863561152
vskgxwui,oprmsprop_hw1024_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,rmsprop,4,1024,75.0,20607.0,0.23124998807907104,0.009999710135161877
5w9pp30m,oprmsprop_hw1024_nl4_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,rmsprop,4,1024,73.0,24316.0,0.2492499947547913,0.00999722070991993
auxuyd03,opsgd_hw1024_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,sgd,4,1024,81.0,31573.0,0.2799999713897705,0.009998326189815998
yn0qdzoh,opsgd_hw1024_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,sgd,4,1024,80.0,437854.0,0.28299999237060547,0.010854735039174557
kyc942rq,opsgd_hw1024_nl4_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,sgd,4,1024,81.0,322743.0,0.2889999747276306,0.00999970268458128
