run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Batch Size,Complexity,Depth,Dist Train (kl mean),Dropout Probability,Epoch,Generalization Gap,KL Loss on Train Data (kl mean),Learning Rate,Optimizer,Weight Decay,Width,_runtime,_step,_timestamp,_wandb
jf73t8j8,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,adam,3,2048,128.0,73.0,3.0,0.009999883361160755,0.2,119458.0,0.2642499804496765,0.009999883361160755,0.001,adam,0.0,2048.0,2980.071869134903,725592.0,1740886358.2286882,{'runtime': 2976}
mpcjmwm5,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,rmsprop,2,2048,128.0,78.0,2.0,0.010972094722092152,0.2,426933.0,0.2799999713897705,0.010972094722092152,0.001,rmsprop,0.0001,2048.0,2885.4606745243073,1312756.0,1740886249.9117255,{'runtime': 2883}
yb9rw2nm,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,rmsprop,2,2048,128.0,74.0,2.0,0.011305315420031548,0.2,422823.0,0.29975003004074097,0.011305315420031548,0.001,rmsprop,1e-05,2048.0,3078.2696583271027,972016.0,1740886445.7551043,{'runtime': 3077}
ixnldon9,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,rmsprop,2,2048,128.0,78.0,2.0,0.012327847070991991,0.2,428187.0,0.28299999237060547,0.012327847070991991,0.001,rmsprop,0.0,2048.0,2628.617555618286,1421744.0,1740885994.4639866,{'runtime': 2628}
6jrhasba,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,sgd,2,2048,128.0,92.0,2.0,0.011489267461001871,0.2,418491.0,0.32099997997283936,0.011489267461001871,0.001,sgd,0.0001,2048.0,3525.2417175769806,1268016.0,1740886873.4577916,{'runtime': 3521}
v76b5sie,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,sgd,2,2048,128.0,90.0,2.0,0.01132126897573471,0.2,422596.0,0.3240000009536743,0.01132126897573471,0.001,sgd,1e-05,2048.0,6204.319159984589,1225600.0,1740889542.479874,{'runtime': 6203}
3n39q178,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,sgd,2,2048,128.0,92.0,2.0,0.010149624198675156,0.2,425444.0,0.3240000009536743,0.010149624198675156,0.001,sgd,0.0,2048.0,3684.326648235321,1352470.0,1740886999.0962183,{'runtime': 3675}
76junnye,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,40,128,10,0.2,0.0001,adam,2,2048,128.0,81.0,2.0,0.009999223053455353,0.2,20699.0,0.29350000619888306,0.009999223053455353,0.001,adam,0.0001,2048.0,1525.956509590149,703794.0,1740884839.1619103,{'runtime': 1517}
gq48p6mk,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,40,128,10,0.2,1e-05,adam,2,2048,128.0,73.0,2.0,0.009999028407037258,0.2,23721.0,0.28600001335144043,0.009999028407037258,0.001,adam,1e-05,2048.0,1433.2139070034027,734678.0,1740884720.85257,{'runtime': 1429}
bzqw7oyr,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,40,128,10,0.2,0.0,adam,2,2048,128.0,84.0,2.0,0.010847183875739574,0.2,423325.0,0.2979999780654907,0.010847183875739574,0.001,adam,0.0,2048.0,1960.165663957596,1114450.0,1740885243.890342,{'runtime': 1951}
