run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
w91wssh5,opadam_hw512_nl2_lr0.0003_bs64_dp0.1_wd0.0001,0.0003,64,0.1,0.0001,adam,2,512,0.6859999895095825,1.0,144,False,0.009847261942923067,False,True
9t41t1tn,opadam_hw512_nl2_lr0.0003_bs64_dp0.1_wd0,0.0003,64,0.1,0.0,adam,2,512,0.6840000152587891,1.0,129,False,0.009676100686192513,False,True
ur4wnl2q,opadam_hw512_nl2_lr0.0003_bs64_dp0.1_wd1e-05,0.0003,64,0.1,1e-05,adam,2,512,0.6819999814033508,1.0,130,False,0.009917404502630234,False,True
a96fex5r,oprmsprop_hw512_nl4_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,rmsprop,4,512,0.7509999871253967,0.9992499947547911,56,False,0.006927577778697014,False,True
30hv4wpf,oprmsprop_hw512_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,rmsprop,4,512,0.7570000290870667,0.9990000128746032,52,False,0.00607135659083724,False,True
3f42ua4n,oprmsprop_hw512_nl4_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,rmsprop,4,512,0.7419999837875366,0.9984999895095824,39,False,0.00948974583297968,False,True
9op95qd5,opsgd_hw512_nl4_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,sgd,4,512,0.6890000104904175,1.0,3807,False,0.00995459407567978,False,True
fc3ep9fv,opsgd_hw512_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,sgd,4,512,0.6940000057220459,1.0,3754,False,0.009994369931519032,False,True
uhvaamea,opsgd_hw512_nl4_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,sgd,4,512,0.6930000185966492,1.0,3744,False,0.009992767125368118,False,True
wt1d67gw,opadam_hw512_nl4_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,adam,4,512,0.7300000190734863,0.9984999895095824,45,False,0.009281330741941929,False,True
wmf7lkoi,opadam_hw512_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,adam,4,512,0.7429999709129333,0.9987499713897704,38,False,0.00790810864418745,False,True
sbc1o6q5,opadam_hw512_nl4_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,adam,4,512,0.746999979019165,0.9984999895095824,37,False,0.0069869752041995525,False,True
v6a1rtfz,oprmsprop_hw512_nl3_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,rmsprop,3,512,0.7360000014305115,0.9987499713897704,49,False,0.007609989959746599,False,True
6658up7f,oprmsprop_hw512_nl3_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,rmsprop,3,512,0.7350000143051147,0.9977499842643738,42,False,0.00958758406341076,False,True
t332zc66,oprmsprop_hw512_nl3_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,rmsprop,3,512,0.7149999737739563,0.9992499947547911,48,False,0.007263391278684139,False,True
98uux5r9,opsgd_hw512_nl3_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,sgd,3,512,0.6919999718666077,1.0,5039,False,0.00999228935688734,False,True
9rxs1gu9,opsgd_hw512_nl3_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,sgd,3,512,0.6890000104904175,1.0,4900,False,0.009972243569791315,False,True
ndyhqxwz,opsgd_hw512_nl3_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,sgd,3,512,0.6880000233650208,1.0,4880,False,0.009975417517125608,False,True
5rji3g3x,opadam_hw512_nl3_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,adam,3,512,0.7279999852180481,0.9994999766349792,48,False,0.007873122580349445,False,True
y57qud0d,opadam_hw512_nl3_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,adam,3,512,0.7149999737739563,0.9987499713897704,40,False,0.008718353696167469,False,True
fvp55omf,opadam_hw512_nl3_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,adam,3,512,0.7229999899864197,0.9990000128746032,35,False,0.008065801113843918,False,True
gxo13emb,oprmsprop_hw512_nl2_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,rmsprop,2,512,0.7039999961853027,1.0,59,False,0.009056419134140016,False,True
ftoc9fm7,oprmsprop_hw512_nl2_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,rmsprop,2,512,0.7009999752044678,1.0,46,False,0.009176346473395824,False,True
rhsz1j6o,oprmsprop_hw512_nl2_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,rmsprop,2,512,0.703000009059906,1.0,50,False,0.009603305719792845,False,True
mnrif4pp,opsgd_hw512_nl2_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,sgd,2,512,0.6949999928474426,1.0,9883,False,0.009999589063227177,False,True
j7gj30jy,opsgd_hw512_nl2_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,sgd,2,512,0.6899999976158142,1.0,9175,False,0.009995797649025915,False,True
3qm0uuah,opsgd_hw512_nl2_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,sgd,2,512,0.6909999847412109,1.0,9097,False,0.009996923618018627,False,True
5xcxw6yw,opadam_hw512_nl2_lr0.001_bs64_dp0.1_wd0.0001,0.001,64,0.1,0.0001,adam,2,512,0.6980000138282776,0.999750018119812,65,False,0.009347786195576193,False,True
6wp3cp8f,opadam_hw512_nl2_lr0.001_bs64_dp0.1_wd1e-05,0.001,64,0.1,1e-05,adam,2,512,0.7070000171661377,1.0,53,False,0.009771722368896008,False,True
ftm9sa3r,opadam_hw512_nl2_lr0.001_bs64_dp0.1_wd0,0.001,64,0.1,0.0,adam,2,512,0.6949999928474426,0.999750018119812,51,False,0.009863619692623615,False,True
iz22zgce,oprmsprop_hw512_nl4_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,rmsprop,4,512,0.7549999952316284,0.9965000152587892,154,False,0.009482434950768948,False,True
